AccountName,PortfolioID,EportalID
ANZ Bank,3965594,140925
BHP Global,4265945,141895
CBA - DCN,4262581,141878
CBA - NPS,4119582,141532
Coles,3951567,140888
IAG-Silver,4304091,142053
Westpac Bank Corporation,4302200,142047
NBN - DC,3924055,139014
Queensland Health,3675801,96479
Suncorp,4046025,141269
Telstra MDN - AGL,4106932,141464
Telstra MDN - CBA,4106933,141465
Telstra MDN - DHS,4106770,141457
Telstra MDN - Medibank,4106934,141466
Telstra MDN - NAB,4106935,141463
Telstra MDN - ORIGIN,4106773,141460
Telstra MDN - QANTAS,4106771,141458
Telstra MDN - WESTPAC,4106772,141459
NBN - NCN / LWR,3847843,122066
NBN NCN EPNM,4560306,142960
Optus Business Networks- HTTS,2539,75713
Reserve Bank of Australia,4067291,141326
Spark EPC,3908563,118606
Spark Networks,4044490,141265
Telstra CoE - Mobiles,4511989,142527
Telstra CoE - RDN,4511993,142529
Telstra CoE - SEP,4511994,142530
Telstra CoE - TID,4511992,142528
Telstra Global,3909670,135714
Telstra HTTS,2110,21178
Telstra Non Enhanced,4512314,142589
Transport for NSW,4110414,141480
VHA,3951,80070
VOCUS,4029752,141193
VodafoneNZ EPC UltraM 12 mth,4559679,142958
Monash University,3815496,111265
Megaport Pty Ltd,4588132,143263
